uid,gid,cluster,size,seq,series,begin,end,id,book
3080840609618089727,2271800227472581094,25769977065,7,1469,Kraken210630005153-ara1,7,377,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8052411994460724050,2271800227472581094,111669275797,5,8854,Kraken210630005153-ara1,6,508,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2803149113430385303,2271800227472581094,214748560736,4,6480,Kraken210630005153-ara1,1,456,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2803149113430385303,2271800227472581094,249108230984,3,6480,Kraken210630005153-ara1,1,796,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2799696436523667068,2271800227472581094,197568585782,6,1362,Kraken210630005153-ara1,422,629,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
984871128858724978,2271800227472581094,188978595327,3,1962,Kraken210630005153-ara1,678,1159,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-7139446686177471517,2271800227472581094,249108258740,3,2235,Kraken210630005153-ara1,351,787,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-7139446686177471517,2271800227472581094,532576085829,3,2235,Kraken210630005153-ara1,782,1090,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-7139446686177471517,2271800227472581094,249108258738,2,2235,Kraken210630005153-ara1,356,782,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4243902529749746662,2271800227472581094,154618959482,3,7023,Kraken210630005153-ara1,605,1454,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8174592278503539583,2271800227472581094,317827775981,3,2199,Kraken210630005153-ara1,1185,1343,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
6448339478330138423,2271800227472581094,42949773509,2,2230,Kraken210630005153-ara1,1,262,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
9077443852415870022,2271800227472581094,68719553561,5,3768,Kraken210630005153-ara1,874,1321,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
9077443852415870022,2271800227472581094,68719553563,8,3768,Kraken210630005153-ara1,1297,1636,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-4899725422538641394,2271800227472581094,54172,160,4695,Kraken210630005153-ara1,329,1034,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-900970887434498316,2271800227472581094,54172,160,8865,Kraken210630005153-ara1,73,459,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8169922070049559302,2271800227472581094,43305,87,7573,Kraken210630005153-ara1,791,1454,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-4628573395668878914,2271800227472581094,25769965471,3,2229,Kraken210630005153-ara1,1338,1585,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-1945838349949848418,2271800227472581094,17179980811,2,8715,Kraken210630005153-ara1,148,1594,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2851392987469709685,2271800227472581094,111669246767,2,2261,Kraken210630005153-ara1,1040,1622,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4178121301900151455,2271800227472581094,317827707982,2,2244,Kraken210630005153-ara1,1,521,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4178121301900151455,2271800227472581094,85899449143,2,2244,Kraken210630005153-ara1,521,1031,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
658849184920062131,2271800227472581094,34359772485,7,3959,Kraken210630005153-ara1,1478,1619,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8233043021048304980,2271800227472581094,8589977340,184,7344,Kraken210630005153-ara1,702,979,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
3554336404386882482,2271800227472581094,34359885245,4,1829,Kraken210630005153-ara1,761,1224,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4316788367137983143,2271800227472581094,8590122953,3,2202,Kraken210630005153-ara1,1,310,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
3831646800239914502,2271800227472581094,25769879094,6,1462,Kraken210630005153-ara1,817,1055,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-3763410715566054902,2271800227472581094,108239,128,8373,Kraken210630005153-ara1,62,221,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-611051257570435726,2271800227472581094,77309573571,6,4515,Kraken210630005153-ara1,309,718,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-611051257570435726,2271800227472581094,77309573572,4,4515,Kraken210630005153-ara1,1418,1617,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8511968349373795049,2271800227472581094,154618997004,2,1211,Kraken210630005153-ara1,1388,1587,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8511968349373795049,2271800227472581094,154618997005,2,1211,Kraken210630005153-ara1,1,1388,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2448985482710886756,2271800227472581094,274878090819,2,7813,Kraken210630005153-ara1,1077,1556,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2448985482710886756,2271800227472581094,386547127534,2,7813,Kraken210630005153-ara1,897,1135,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
6489808198872255589,2271800227472581094,25769831330,8,8564,Kraken210630005153-ara1,435,1030,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-6758536165891652740,2271800227472581094,85899449144,2,2245,Kraken210630005153-ara1,1,512,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-6758536165891652740,2271800227472581094,575525663150,2,2245,Kraken210630005153-ara1,994,1282,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
528967309815423495,2271800227472581094,17179977698,12,6801,Kraken210630005153-ara1,1444,1575,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
7381396276035634737,2271800227472581094,455266724365,2,8228,Kraken210630005153-ara1,1347,1519,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-5286691601112941657,2271800227472581094,506806228453,2,2187,Kraken210630005153-ara1,1046,1607,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2176439359382734282,2271800227472581094,85899484883,7,7108,Kraken210630005153-ara1,213,386,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
