cluster,size,seq,series,begin,end,id,book,author,ch_len
377957299859,2,372,Shamela0000176-ara1.completed,284,557,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,273
317827621293,2,39,Shamela0000176-ara1.completed,407,892,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,485
34359891301,2,52,Shamela0000176-ara1.completed,727,1606,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,879
25770019845,2,557,Shamela0000176-ara1.completed,246,543,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,297
206158616680,2,77,Shamela0000176-ara1.completed,1215,1481,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,266
137439112418,2,451,Shamela0000176-ara1.completed,1378,1511,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,133
541166012669,3,78,Shamela0000176-ara1.completed,444,1141,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,697
197568661899,2,78,Shamela0000176-ara1.completed,77,232,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,155
34359826412,2,219,Shamela0000176-ara1.completed,1494,1738,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,244
34359826413,2,219,Shamela0000176-ara1.completed,736,1667,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,931
34359826411,2,219,Shamela0000176-ara1.completed,1,727,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,726
77309441068,2,535,Shamela0000176-ara1.completed,320,550,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,230
154618938985,3,471,Shamela0000176-ara1.completed,341,1038,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,697
283468021390,2,379,Shamela0000176-ara1.completed,1242,1526,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,284
377957326963,2,379,Shamela0000176-ara1.completed,1,1009,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1008
51539763993,2,232,Shamela0000176-ara1.completed,1126,1463,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,337
420906810096,2,608,Shamela0000176-ara1.completed,38,865,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,827
429496874421,2,574,Shamela0000176-ara1.completed,501,697,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,196
51539675146,2,75,Shamela0000176-ara1.completed,203,469,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,266
