pos,word,count
17,احمد,1
17,ثم,3
17,دينار,2
17,حتي,1
17,هذه,2
17,دينارا,1
17,المسلمون,1
17,لحقهم,1
17,كثيرا,1
17,صيره,4
17,الله,1
17,الازهر,1
17,علي,2
17,فاس,1
17,وكزل,1
17,العزيز,1
17,حلب,3
17,وكان,3
17,عليه,2
17,الجلال,1
17,قاصد,1
17,وبعض,1
17,خارجا,1
17,امثالها,1
17,فيكون,1
17,رغيفا,1
17,الافضل,1
17,عدن,1
17,الاجتماعيه,1
17,كان,2
17,بعضهن,1
17,العقار,1
17,عنده,1
17,معلي,1
17,درهم,1
17,ومضي,1
17,اعظم,1
17,والرطل,1
17,وسمت,1
17,وقال,1
17,الرطل,1
17,فتحارسوا,1
17,بالجوع,1
17,دنانير,1
17,بالناس,1
17,ووقفوا,1
17,وماتين,1
17,مدينه,1
17,بالف,2
17,قال,2
17,الرجل,1
17,الخليفه,1
17,احد,1
17,والجوع,1
17,بنت,1
17,حكي,1
17,اثنا,1
17,الجراح,1
17,بقر,1
17,لدفعه,1
17,في,1
17,والاسمان,1
17,بن,3
17,محسن,1
17,الما,1
17,غلمانه,1
17,الكناس,1
17,سته,1
17,مشويه,1
17,الصلح,1
17,الملف,1
17,الطعام,1
17,بيروت,1
17,بهم,1
17,يدفن,1
17,المدينه,1
17,الموت,1
17,والشعير,1
17,بالمصري,1
17,تملك,1
17,وفيها,1
17,غلب,1
17,الف,1
17,الغلات,1
17,داري,1
17,الجوزي,1
17,لانك,1
17,واما,1
17,الملفات,1
17,سبع,1
18,الابواب,1
18,والشعير,1
18,الحنطه,1
18,الي,2
18,العقار,1
18,جدا,1
18,خروب,1
18,زاد,1
18,الناس,2
18,وكان,1
18,تبعه,1
18,بثلاثماه,1
18,اكل,1
18,السنه,1
18,صوريه,1
18,يحملون,1
18,عليه,1
18,ولقد,1
18,كرين,4
18,قصده,1
18,فدعا,1
18,الاغنيا,1
18,وقد,1
18,فانهزم,1
18,بالله,1
18,وابن,1
18,ذلك,1
18,خمسه,1
18,وعشرين,1
18,البلقيني,1
