date,Distinct count,percent,rank
246,1,0.029,598
283,1,0.029,599
295,1,0.029,600
326,1,0.029,601
273,1,0.029,602
589,1,0.029,603
842,1,0.029,604
324,1,0.029,605
163,1,0.029,606
252,1,0.029,607
285,1,0.029,608
574,1,0.029,609
443,1,0.029,610
535,1,0.029,611
458,1,0.029,612
453,1,0.029,613
561,1,0.029,614
609,1,0.029,615
432,1,0.029,616
474,1,0.029,617
840,1,0.029,618
424,1,0.029,619
315,1,0.029,620
112,1,0.029,621
106,1,0.029,622
227,1,0.029,623
235,1,0.029,624
244,1,0.029,625
325,1,0.029,626
542,1,0.029,627
433,1,0.029,628
437,1,0.029,629
129,1,0.029,630
351,1,0.029,631
629,1,0.029,632
654,1,0.029,633
613,1,0.029,634
641,1,0.029,635
618,1,0.029,636
772,1,0.029,637
605,1,0.029,638
763,1,0.029,639
782,1,0.029,640
262,1,0.029,641
632,1,0.029,642
627,1,0.029,643
505,1,0.029,644
642,1,0.029,645
645,1,0.029,646
555,1,0.029,647
833,1,0.029,648
268,1,0.029,649
598,1,0.029,650
674,1,0.029,651
343,1,0.029,652
545,1,0.029,653
646,1,0.029,654
166,1,0.029,655
583,1,0.029,656
422,1,0.029,657
102,1,0.029,658
108,1,0.029,659
125,1,0.029,660
135,1,0.029,661
154,1,0.029,662
155,1,0.029,663
158,1,0.029,664
168,1,0.029,665
171,1,0.029,666
173,1,0.029,667
174,1,0.029,668
116,1,0.029,669
837,1,0.029,670
601,1,0.029,671
159,1,0.029,672
165,1,0.029,673
187,1,0.029,674
214,1,0.029,675
218,1,0.029,676
463,1,0.029,677
167,1,0.029,678
511,1,0.029,679
225,1,0.029,680
579,1,0.029,681
562,1,0.029,682
196,1,0.029,683
202,1,0.029,684
207,1,0.029,685
209,1,0.029,686
377,1,0.029,687
249,1,0.029,688
571,1,0.029,689
177,1,0.029,690
179,1,0.029,691
183,1,0.029,692
224,1,0.029,693
428,1,0.029,694
369,1,0.029,695
352,1,0.029,696
491,1,0.029,697
447,1,0.029,698
425,1,0.029,699
512,1,0.029,700
373,1,0.029,701
297,1,0.029,702
559,1,0.029,703
394,1,0.029,704
617,1,0.029,705
625,1,0.029,706
582,1,0.029,707
148,1,0.029,708
514,1,0.029,709
552,1,0.029,710
479,1,0.029,711
477,1,0.029,712
484,1,0.029,713
446,1,0.029,714
226,1,0.029,715
228,1,0.029,716
229,1,0.029,717
234,1,0.029,718
220,1,0.029,719
293,1,0.029,720
321,1,0.029,721
454,1,0.029,722
495,1,0.029,723
464,1,0.029,724
306,1,0.029,725
322,1,0.029,726
333,1,0.029,727
341,1,0.029,728
317,1,0.029,729
427,1,0.029,730
160,1,0.029,731
