section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780
155,### ||| ذكر فتح الفيوم ومبلغ خراجها وما فيها من المرافق,176691,176876.5,0,0,0,0,0,0,0,0,0,0
156,### || مدينة النحريرية ms0572,177062,177171.0,0,0,0,0,0,0,0,0,0,0
157,### | ذكر تاريخ الخليقة,177280,177436.5,0,0,0,0,0,0,0,0,0,0
158,### || ذكر ما قيل في مدة أيام الدنيا ماضيها وباقيها,177593,180497.5,0,1,1,1,0,0,0,0,0,0
159,### || ذكر التواريخ التي كانت للأمم قبل تاريخ القبط,183402,183472.0,0,0,0,0,0,0,0,0,0,0
160,### ||| فأما تاريخ الخليقة،,183542,183899.0,0,2,0,0,0,0,0,0,0,0
161,### ||| وأما تاريخ الطوفان:,184256,184483.0,0,0,0,0,1,0,0,0,0,0
162,### ||| وأما تاريخ بخت نصر:,184710,184760.5,0,0,0,0,0,0,0,0,0,0
163,### ||| وأما تاريخ فيلبس:,184811,184844.0,0,0,0,0,0,0,0,0,0,0
164,### ||| وأما تاريخ الإسكندرية,184877,184896.5,0,0,0,0,0,0,0,0,0,0
165,### ||| وأما تاريخ أغشطش,184916,184968.5,0,0,0,0,0,0,0,0,0,0
166,### || ذكر تاريخ القبط,185021,185521.5,0,0,0,0,0,0,0,0,0,0
167,### ||| ذكر دقلطيانوس «1» الذي يعرف تاريخ القبط به,186022,186254.5,0,0,0,0,0,0,0,0,0,0
168,### ||| وأسماء شهور القبط «1» :,186487,186513.0,0,0,0,0,0,0,0,0,0,0
169,### || ذكر أسابيع الأيام,186539,186796.0,0,0,0,0,0,0,0,0,0,0
170,### || ذكر أعياد القبط من النصارى بديار مصر,187053,187157.0,0,0,0,0,0,0,0,0,0,0
171,### ||| عيد البشارة:,187261,187284.0,0,0,0,0,0,0,0,0,0,0
172,### ||| عيد الزيتونة:,187307,187377.0,0,0,0,0,0,0,0,0,0,0
173,### ||| عيد الفصح:,187447,187538.5,0,0,0,0,0,0,0,0,0,0
174,### ||| خميس الأربعين:,187630,187670.5,0,0,0,0,0,0,0,0,0,0
175,### ||| عيد الخميس:,187711,187747.0,0,0,0,0,0,0,0,0,0,0
176,### ||| عيد الميلاد:,187783,187902.0,0,0,0,0,0,0,0,0,0,0
177,### ||| الغطاس:,188021,188246.0,0,0,0,0,0,0,0,0,0,0
178,### ||| الختان:,188471,188486.0,0,0,0,0,0,0,0,0,0,0
179,### ||| الأربعون:,188501,188514.5,0,0,0,0,0,0,0,0,0,0
180,### ||| خميس العهد:,188528,188619.5,0,0,0,0,0,0,0,0,0,0
181,### ||| سبت النور:,188711,188740.5,0,0,0,0,0,0,0,0,0,0
182,### ||| حد الحدود:,188770,188786.0,0,0,0,0,0,0,0,0,0,0
183,### ||| عيد التجلي:,188802,188822.0,0,0,0,0,0,0,0,0,0,0
184,### ||| عيد الصليب:,188842,188860.5,0,0,0,0,0,0,0,0,0,0
185,### ||| ذكر قسطنطين:,188879,189264.5,0,0,0,0,0,0,0,0,0,0
186,### ||| النيروز:,189650,190353.0,0,0,1,0,0,0,0,0,0,0
187,### || ذكر ما يوافق أيام الشهور القبطية من الأعمال في الزراعات، وزيادة النيل، وغير ذلك على ما نقله أهل مصر عن قدمائهم واعتمدوا عليه في أمورهم,191056,192268.0,0,0,0,0,0,0,0,0,0,0
188,### || ذكر تحويل السنة  @YY000 @YY000 الخراجية القبطية إلى السنة الهلالية العربية وكيف عمل ms0624 ذلك في الإسلام؟,193480,196741.0,0,1,0,0,0,0,0,0,4,0
189,### || وأما تاريخ العرب:,200002,201198.0,0,2,0,0,0,0,0,0,0,0
190,### || وأما تاريخ الفرس،,202394,202449.0,0,0,0,0,0,0,0,0,0,0
191,### | ذكر فسطاط مصر,202504,202649.5,0,0,0,0,0,0,0,0,0,0
192,### || ذكر ما كان عليه موضع الفسطاط قبل الإسلام إلى أن اختطه المسلمون مدينة,202795,203072.5,0,0,0,0,0,0,0,0,0,0
193,### || ذكر الحصن الذي يعرف بقصر الشمع,203350,203805.0,0,0,0,0,0,0,0,0,0,0
194,### || ذكر حصار المسلمين للقصر وفتح مصر,204260,206486.0,0,0,2,0,0,0,0,0,0,0
195,### || ذكر ما قيل في مصر هل فتحت بصلح أو عنوة؟,208712,209250.5,0,0,0,0,0,0,0,0,0,0
196,### || ذكر من شهد فتح مصر من الصحابة رضي الله عنهم,209789,210019.0,0,0,0,0,0,0,0,0,0,0
197,### || ذكر السبب في تسمية مدينة مصر بالفسطاط,210249,210460.0,0,0,0,0,0,0,0,0,0,0
198,### || ذكر الخطط التي كانت بمدينة الفسطاط,210671,210716.0,0,0,0,0,0,0,0,0,0,0
199,### ||| خطة أهل الراية:,210761,210849.5,0,0,0,0,0,0,0,0,0,0
200,### ||| خطة مهرة:,210938,210978.0,0,0,0,0,0,0,0,0,0,0
201,### ||| خطة تجيب:,211018,211041.0,0,0,0,0,0,0,0,0,0,0
