section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780,start,end
536,### || درب القاضي:,374338,374372.0,0,0,0,0,0,0,0,0,0,0,350000,400000
537,### || درب البيضاء:,374406,374420.0,0,0,0,0,0,0,0,0,0,0,350000,400000
538,### || درب المنقدي:,374434,374458.5,0,0,0,0,0,0,0,0,0,0,350000,400000
532,### || درب بن طلائع:,373415,373458.5,0,0,0,0,0,0,0,0,0,0,350000,400000
558,### || درب الكهارية:,375742,375753.5,0,0,0,0,0,0,0,0,0,0,350000,400000
591,### || درب الجاكي:,377720,377741.0,0,0,0,0,0,0,0,0,0,0,350000,400000
560,### || درب الأنجب:,375812,375859.5,0,0,0,0,0,0,0,0,0,0,350000,400000
525,### || درب الأتراك:,372488,372539.5,0,0,0,0,0,0,0,0,0,0,350000,400000
590,### || درب كوسا:,377662,377691.0,0,0,0,0,0,0,0,0,0,0,350000,400000
589,### || درب ماينجار:,377622,377642.0,0,0,0,0,0,0,0,0,0,0,350000,400000
588,### || درب الطاوس:,377576,377599.0,0,0,0,0,0,0,0,0,0,0,350000,400000
587,### || درب الأصفر:,377552,377564.0,0,0,0,0,0,0,0,0,0,0,350000,400000
586,### || درب الفريحية:,377525,377538.5,0,0,0,0,0,0,0,0,0,0,350000,400000
585,### || درب الرشيدي:,377454,377489.5,0,0,0,0,0,0,0,0,0,0,350000,400000
584,### || درب شاطي:,377394,377424.0,0,0,0,0,0,0,0,0,0,0,350000,400000
583,### || درب خاص ترك:,377351,377372.5,0,0,0,0,0,0,0,0,0,0,350000,400000
582,### || درب السلامي:,377052,377201.5,0,0,0,0,0,0,0,0,0,0,350000,400000
581,### || درب قراصيا:,376982,377017.0,0,0,0,0,0,0,0,0,0,0,350000,400000
580,### || درب النميري:,376904,376943.0,0,0,0,0,0,0,0,0,0,0,350000,400000
579,### || درب راشد:,376886,376895.0,0,0,0,0,0,0,0,0,0,0,350000,400000
578,### || درب نادر:,376790,376838.0,0,0,0,0,0,0,0,0,0,0,350000,400000
577,### || درب شعلة:,376770,376780.0,0,0,0,0,0,0,0,0,0,0,350000,400000
576,### || درب الخضيري:,376739,376754.5,0,0,0,0,0,0,0,0,0,0,350000,400000
575,### || درب رومية:,376636,376687.5,0,0,0,0,0,0,0,0,0,0,350000,400000
561,### || درب كنيسة جدة: بضم الجيم،,375907,375918.5,0,0,0,0,0,0,0,0,0,0,350000,400000
562,### || درب ابن قطز:,375930,375948.5,0,0,0,0,0,0,0,0,0,0,350000,400000
563,### || درب الحريري:,375967,375989.5,0,0,0,0,0,0,0,0,0,0,350000,400000
564,### || درب ابن عرب:,376012,376058.0,0,0,0,0,0,0,0,0,0,0,350000,400000
565,### || درب ابن مغش:,376104,376146.0,0,0,0,0,0,0,0,0,0,0,350000,400000
566,### || درب مشترك:,376188,376236.0,0,0,0,0,0,0,0,0,0,0,350000,400000
559,### || درب الصفيرة: بتشديد الفاء,375765,375788.5,0,0,0,0,0,0,0,0,0,0,350000,400000
567,### || درب العداس:,376284,376294.5,0,0,0,0,0,0,0,0,0,0,350000,400000
569,### ||| الوزير كاتب سيدي:,376345,376423.0,0,0,0,0,1,0,0,0,0,0,350000,400000
570,### || درب مخلص ms1208:,376501,376516.5,0,0,0,0,0,0,0,0,0,0,350000,400000
571,### || درب كوكب:,376532,376548.0,0,0,0,0,0,0,0,0,0,0,350000,400000
572,### || درب الوشاقي: بحارة زويلة،,376564,376577.0,0,0,0,0,0,0,0,0,0,0,350000,400000
573,### || درب الصقالبة: بحارة زويلة:,376590,376600.0,0,0,0,0,0,0,0,0,0,0,350000,400000
574,### || درب الكنجي: بحارة زويلة،,376610,376623.0,0,0,0,0,0,0,0,0,0,0,350000,400000
568,### || درب كاتب سيدي:,376305,376325.0,0,0,0,0,0,0,0,0,0,0,350000,400000
524,### | ذكر الدروب والأزقة,372464,372476.0,0,0,0,0,0,0,0,0,0,0,350000,400000
490,### || حارة حلب:,362755,362785.5,0,0,0,0,0,0,0,0,0,0,350000,400000
522,### || خط بستان ابن ms1193 صيرم:,371695,371730.5,0,0,0,0,0,0,0,0,0,0,350000,400000
485,### || حارة المصامدة:,360254,360480.5,0,0,0,0,0,0,0,0,0,0,350000,400000
484,### || الحارة المنصورية:,359789,360021.5,0,0,0,0,0,0,0,0,0,0,350000,400000
483,### || حارة المنتجبية:,359760,359774.5,0,0,0,0,0,0,0,0,0,0,350000,400000
482,### ||| ذكر الأمير حسن بن الخليفة الحافظ,358875,359317.5,0,0,0,0,0,0,0,0,0,0,350000,400000
481,### ||| ذكر وزارة أبي الفتح ناصر الجيوش يأنس الأرمني,358390,358632.5,0,0,0,0,0,0,0,0,0,0,350000,400000
480,### || حارة اليانسية:,358083,358236.5,0,0,0,0,0,0,0,0,0,0,350000,400000
479,### || حارة بني سوس:,358065,358074.0,0,0,0,0,0,0,0,0,0,0,350000,400000
478,### || حارة الحمزيين:,357904,357984.5,0,0,0,0,0,0,0,0,0,0,350000,400000
477,### || حارة العيدانية:,357852,357878.0,0,0,0,0,0,0,0,0,0,0,350000,400000
476,### || حارة العدوية:,357696,357774.0,0,0,0,0,0,0,0,0,0,0,350000,400000
475,### || حارة المهاجرين:,357616,357656.0,0,0,0,0,0,0,0,0,0,0,350000,400000
474,### || حارة الدميري وحارة الشاميين:,357602,357609.0,0,0,0,0,0,0,0,0,0,0,350000,400000
473,### || حارة الشرابية:,357579,357590.5,0,0,0,0,0,0,0,0,0,0,350000,400000
472,### || حارة الطوارق:,357529,357554.0,0,0,0,0,0,0,0,0,0,0,350000,400000
471,### || حارة الأمراء:,357504,357516.5,0,0,0,0,0,0,0,0,0,0,350000,400000
470,### || حارة قائد القواد:,356460,356982.0,0,0,0,0,0,0,0,0,0,0,350000,400000
469,### || حارة فرج بالجيم:,356428,356444.0,0,0,0,0,0,0,0,0,0,0,350000,400000
455,### || حارة الباطلية:,351904,352041.5,0,0,0,0,0,0,0,0,0,0,350000,400000
456,### || حارة الروم:,352179,352209.5,0,0,0,0,0,0,0,0,0,0,350000,400000
457,### || حارة الديلم:,352240,352860.5,0,0,0,0,0,0,0,0,0,0,350000,400000
458,### || حارة الأتراك:,353481,353553.5,0,0,0,0,0,0,0,0,0,0,350000,400000
459,### || حارة كتامة «1» :,353626,353657.5,0,0,0,0,0,0,0,0,0,0,350000,400000
460,### ||| ذكر أبي عبد الله الشيعي,353689,354264.5,0,0,0,0,0,1,0,0,0,0,350000,400000
486,### || حارة الهلالية:,360707,360716.0,0,0,0,0,0,0,0,0,0,0,350000,400000
461,### || حارة الصالحية:,354840,354879.5,0,0,0,0,0,0,0,0,0,0,350000,400000
463,### ||| ذكر الأمراء البرقية ووزارة ضرغام,354980,355396.5,0,0,0,0,0,0,0,0,0,0,350000,400000
