,cluster,begin,end,date,book,label,colour
104,369367226786,3277297,3278239,845,0845Maqrizi.ItticazHunafa,mamluk,blue
105,163208869654,419581,420324,733,0733Nuwayri.NihayatArab,mamluk,blue
106,42949770847,1004136,1004609,808,0808IbnKhaldun.Tarikh,mamluk,blue
107,42949770845,1004118,1004613,437,0437IbnHammushQayruwani.Hidaya,fatimid,green
108,53752,1004236,1004485,241,0241IbnHanbal.CilalWaMacrifa,pre-fatimid,orange
109,420906952217,1941317,1941970,845,0845Maqrizi.ItticazHunafa,mamluk,blue
110,34359929872,428680,429034,845,0845Maqrizi.ItticazHunafa,mamluk,blue
111,85899361315,227507,227988,821,0821Qalqashandi.SubhAcsha,mamluk,blue
112,85899361319,227532,228688,821,0821Qalqashandi.SubhAcsha,mamluk,blue
113,395137064202,1269954,1270641,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
114,154618858206,1271111,1271233,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
115,249108253271,1270641,1271473,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
116,103079308995,3586211,3586840,764,0764Safadi.AcyanCasr,mamluk,blue
117,103079308992,3585880,3587099,764,0764Safadi.AcyanCasr,mamluk,blue
118,103079308993,3586343,3587099,764,0764Safadi.WafiBiWafayat,mamluk,blue
119,532576110933,187703,188341,626,0626YaqutHamawi.MucjamBuldan,ayyubid,red
120,51539689396,188575,188738,198,0198AbuNuwasShacir.Diwan,pre-fatimid,orange
121,103079245611,2775681,2776262,772,0772IbnHasanJamalDinIsnawi.MatalicDaqaiq,mamluk,blue
122,103079245610,2775681,2776675,772,0772IbnHasanJamalDinIsnawi.MatalicDaqaiq,mamluk,blue
123,8590075552,771347,771546,845,0845Maqrizi.Muqaffa,mamluk,blue
124,60129563762,2825690,2825990,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
125,25769831330,1976244,1976601,630,0630IbnAthirCizzDin.Kamil,ayyubid,red
126,163208903581,482927,483492,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
127,523986133358,483492,483721,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
128,523986133357,483109,483343,367,0367IbnHawqal.SuratArd,fatimid,green
129,42949889243,80190,80731,808,0808MuhammadDamiri.NajmWahhaj,mamluk,blue
130,42949889242,80190,80731,393,0393IbnHammadJawhari.SihahTajLugha,fatimid,green
131,352187391220,2777275,2777486,772,0772IbnHasanJamalDinIsnawi.MatalicDaqaiq,mamluk,blue
132,25769826031,3244324,3244607,456,0456IbnHazm.IhkamFiUsulAhkam,fatimid,green
133,103079311595,3202865,3203247,845,0845Maqrizi.Suluk,mamluk,blue
134,523986065793,1780988,1781575,821,0821Qalqashandi.SubhAcsha,mamluk,blue
135,335007537446,472848,473346,629,0629CabdLatifBaghdadi.IfadaWaIctibar,ayyubid,red
136,266287980453,471746,472813,629,0629CabdLatifBaghdadi.IfadaWaIctibar,ayyubid,red
137,231928431175,3395301,3396694,845,0845Maqrizi.Muqaffa,mamluk,blue
138,257698159270,3254099,3255230,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
139,523986190245,3255318,3255513,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
140,51539768688,3254037,3255079,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
141,257698159271,3254506,3254903,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
142,257698159274,3254327,3254501,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
143,94489467046,3625189,3625505,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
144,360777372999,800860,801086,347,0347IbnYunusSadafi.Tarikh,pre-fatimid,orange
145,352187528989,799815,799994,487,0487AbuCubaydBakri.MucjamMaIstacjama,fatimid,green
146,274877981721,800332,800529,581,0581AbuQasimSuhayli.RawdUnuf,ayyubid,red
147,77309549374,127750,127897,733,0733Nuwayri.NihayatArab,mamluk,blue
148,498216353668,126546,126734,733,0733Nuwayri.NihayatArab,mamluk,blue
149,429496828284,126904,127680,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
150,128849085932,3527712,3527975,696,0696SharafDinBusiri.Diwan,mamluk,blue
151,25769923203,1508001,1508728,821,0821Qalqashandi.SubhAcsha,mamluk,blue
152,395137109539,1508728,1509529,821,0821Qalqashandi.SubhAcsha,mamluk,blue
153,283467870601,3543254,3543572,692,0692IbnCabdZahir.RawdZahir,mamluk,blue
154,274878081006,3542503,3542681,845,0845Maqrizi.Muqaffa,mamluk,blue
155,463856675998,690674,691303,733,0733Nuwayri.NihayatArab,mamluk,blue
156,68719502089,690429,690674,733,0733Nuwayri.NihayatArab,mamluk,blue
157,146028890360,1190847,1191279,845,0845Maqrizi.Muqaffa,mamluk,blue
158,472446424961,1190416,1190696,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
159,94489467045,1189981,1190274,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
160,463856599775,1190681,1191117,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
161,155932,300613,301423,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
162,34359766435,299989,300261,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
163,34359766432,299989,300613,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
164,8589999163,113078,113379,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
165,94489425411,113078,114011,783,0783IbnHadida.MisbahMudi,mamluk,blue
166,34359891576,113122,114075,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
167,25769832398,113960,114410,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
168,112707,113981,114206,230,0230IbnSacd.TabaqatKubra,pre-fatimid,orange
169,395137189968,113777,114162,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
170,498216399325,113392,113960,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
171,163208869156,3491585,3492627,764,0764Safadi.AcyanCasr,mamluk,blue
172,163208869158,3492641,3492999,764,0764Safadi.AcyanCasr,mamluk,blue
173,163208869157,3491585,3492025,764,0764Safadi.WafiBiWafayat,mamluk,blue
174,352187442186,50722,51086,360,0360HamzaIsfahani.TarikhSini,fatimid,green
175,446676801701,702024,702313,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
176,34359947941,916038,916320,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
